Title,Link
[한국정보공학기술사 보안을 論하다-7] 데이터 거래와 보안,https://www.boannews.com/media/view.asp?idx=134043&page=1&kind=6
남아공 드론 산업 현황과 한국 기업의 진출 가능성 진단,https://www.boannews.com/media/view.asp?idx=133957&page=1&kind=4
과기정통부, ‘2024 한-중남미 디지털 장관회의’ 개최,https://www.boannews.com/media/view.asp?idx=133939&page=4&kind=2
강도형 해양수산부 장관, ‘Sea AI 포럼 창단식 및 기념 심포지엄’ 참석,https://www.boannews.com/media/view.asp?idx=133938&page=4&kind=2
수원시, ‘생성형 AI 고립위기 청(소)년 사전예방시스템’ 구축한다,https://www.boannews.com/media/view.asp?idx=133948&page=4&kind=2
고양시, 대덕 한강공원 내 보안등·CCTV 조성 완료,https://www.boannews.com/media/view.asp?idx=133949&page=4&kind=2
이스트시큐리티-시큐어시스템즈, 차세대 통합보안 플랫폼 구축 위한 R&D 협약 체결,https://www.boannews.com/media/view.asp?idx=133974&page=4&kind=3
‘양자과학기술 및 양자산업 육성에 관한 법’ 11월 1일부터 시행된다,https://www.boannews.com/media/view.asp?idx=133975&page=4&kind=2
시큐리온 모바일 안티바이러스 ‘OnAV’, AI 기술로 35번째 AV-TEST 인증,https://www.boannews.com/media/view.asp?idx=133973&page=4&kind=3
개인정보위, 개인정보 영향평가에 관한 고시 개정안 시행,https://www.boannews.com/media/view.asp?idx=133972&page=4&kind=2
국내 세 번째 양자대학원, ‘포스텍 주관 양자대학원’ 개원,https://www.boannews.com/media/view.asp?idx=133971&page=4&kind=2
국민 생명 위협하는 안전범죄, 소방에서 없앤다,https://www.boannews.com/media/view.asp?idx=133966&page=4&kind=2
금융보안원 “금융소비자 90.6%, 보안성 확보 위해 불편 감내할 수 있어”,https://www.boannews.com/media/view.asp?idx=133965&page=4&kind=2
티피링크 Festa, 와이파이 6 천장형 액세스포인트 출시,https://www.boannews.com/media/view.asp?idx=133963&page=5&kind=3
조달청, 공공조달길잡이 컨설팅 희망기업 모집,https://www.boannews.com/media/view.asp?idx=133962&page=5&kind=2
아울시스템즈, 국제드론해킹방어대회 ‘핵더드론’ 후원사로 참가,https://www.boannews.com/media/view.asp?idx=133960&page=5&kind=3
러시아 해커들, 스피어피싱으로 전 세계 100여개 조직 공격 중,https://www.boannews.com/media/view.asp?idx=133970&page=5&kind=1
은행과의 통화를 가로채는 페이크콜 멀웨어, 한국 사용자 노려,https://www.boannews.com/media/view.asp?idx=133969&page=5&kind=1
북한의 해킹 조직, 플레이 랜섬웨어와 손잡고 활동해,https://www.boannews.com/media/view.asp?idx=133968&page=5&kind=1
메타 플랫폼에서 9월부터 유행하는 멀버타이징 캠페인, 무료 앱 주의,https://www.boannews.com/media/view.asp?idx=133967&page=5&kind=1
한국드론보안협회, 국제드론해킹방어대회 ‘핵더드론 2024’ 성황리 종료,https://www.boannews.com/media/view.asp?idx=133961&page=5&kind=3
안랩, 임직원 대상 ‘2025년 알아야 할 공정거래 이슈’ 특강 진행,https://www.boannews.com/media/view.asp?idx=133959&page=5&kind=3
TTA, 지능형 홈 국제 표준 컨퍼런스 개최 및 CSA와 업무협약 체결,https://www.boannews.com/media/view.asp?idx=133958&page=5&kind=2
하이크비전, 2024 AIoT 국제전시회에서 AI 기반 물류와 산업안전 및 교육 솔루션 소개,https://www.boannews.com/media/view.asp?idx=133953&page=5&kind=3
[인사] 방위산업공제조합, 김희철 신임 상근부이사장 선임,https://www.boannews.com/media/view.asp?idx=133964&page=5&kind=2
화웨이, 아세안재단-SEAMEO와 ‘디지털 인재 서밋 2024’ 개최,https://www.boannews.com/media/view.asp?idx=133955&page=5&kind=3
[테크칼럼] 놀랍고 혁신적인 보안 기술 ‘엔터프라이즈 브라우저’,https://www.boannews.com/media/view.asp?idx=133934&page=5&kind=6
KITRI, 미래 보안 전문가를 위한 ‘사이버 가디언즈 콘퍼런스’ 성료,https://www.boannews.com/media/view.asp?idx=133936&page=5&kind=2
위험 수위 넘어 급속도로 확산되고 있는 딥페이크 공포, 어떻게 대응해야 하나,https://www.boannews.com/media/view.asp?idx=133899&page=5&kind=1
[제품리뷰] 티피링크, 무료 클라우드 기반 비디오 관리 시스템,https://www.boannews.com/media/view.asp?idx=133850&page=5&kind=3
FBI는 어떻게 사이버 범죄자들을 소탕했을까?,https://www.boannews.com/media/view.asp?idx=133902&page=5&kind=2
한국사이버안보학회, 2024년 연례학술대회 개최,https://www.boannews.com/media/view.asp?idx=133929&page=5&kind=2
조달청, 공공시설물 설계검토 민간 전문위원 선정,https://www.boannews.com/media/view.asp?idx=133931&page=5&kind=2
